id,Overs remaining,Runs Scored,Wickets Remaining,Runs required,Match Boolean
938,6,124,9,64,True
939,5,131,8,57,True
940,4,137,7,51,True
941,3,151,7,37,True
942,2,164,7,24,True
943,1,183,7,5,True
944,0,189,7,0,True
945,19,2,9,163,False
946,18,16,9,149,False
947,17,18,8,147,False
948,16,19,8,146,False
949,15,33,8,132,False
950,14,40,8,125,False
951,13,55,8,110,False
952,12,57,8,108,False
953,11,66,8,99,False
954,10,70,7,95,False
955,9,73,7,92,False
956,8,83,7,82,False
957,7,91,6,74,False
958,6,94,6,71,False
959,5,108,5,57,False
960,4,114,4,51,False
961,3,127,4,38,False
962,2,135,4,30,False
963,1,141,4,24,False
964,0,146,3,19,False
965,19,3,10,176,True
966,18,13,10,166,True
967,17,32,10,147,True
968,16,41,10,138,True
969,15,47,9,132,True
970,14,52,9,127,True
971,13,63,9,116,True
972,12,70,9,109,True
973,11,78,9,101,True
974,10,89,9,90,True
975,9,92,8,87,True
976,8,98,7,81,True
977,7,102,7,77,True
978,6,111,7,68,True
979,5,129,7,50,True
980,4,142,7,37,True
981,3,166,7,13,True
982,2,180,7,0,True
983,19,4,10,80,True
984,18,8,10,76,True
985,17,15,10,69,True
986,16,28,10,56,True
987,15,37,10,47,True
988,14,44,10,40,True
989,13,46,8,38,True
990,12,48,8,36,True
991,11,54,8,30,True
992,10,63,8,21,True
993,9,67,8,17,True
994,8,77,8,7,True
995,7,82,8,2,True
996,6,85,8,0,True
997,19,6,10,139,False
998,18,7,8,138,False
999,17,11,8,134,False
1000,16,20,8,125,False
1001,15,27,8,118,False
1002,14,41,8,104,False
1003,13,50,8,95,False
1004,12,59,8,86,False
1005,11,61,7,84,False
1006,10,71,7,74,False
1007,9,75,7,70,False
1008,8,87,7,58,False
1009,7,93,7,52,False
1010,6,97,7,48,False
1011,5,100,6,45,False
1012,4,103,5,42,False
1013,3,108,4,37,False
1014,2,112,2,33,False
1015,1,121,2,24,False
1016,0,126,2,19,False
1017,19,6,10,112,True
1018,18,11,9,107,True
1019,17,12,9,106,True
1020,16,20,9,98,True
1021,15,27,9,91,True
1022,14,32,9,86,True
1023,13,41,9,77,True
1024,12,51,9,67,True
1025,11,57,9,61,True
1026,10,63,9,55,True
1027,9,68,9,50,True
1028,8,78,9,40,True
1029,7,81,9,37,True
1030,6,83,8,35,True
1031,5,89,8,29,True
1032,4,95,7,23,True
1033,3,99,7,19,True
1034,2,108,7,10,True
1035,1,114,7,4,True
1036,0,124,7,0,True
1037,19,1,10,162,False
1038,18,8,10,155,False
1039,17,14,9,149,False
1040,16,17,8,146,False
1041,15,23,8,140,False
1042,14,30,8,133,False
1043,13,39,8,124,False
1044,12,47,8,116,False
1045,11,53,8,110,False
1046,10,62,7,101,False
1047,9,69,7,94,False
1048,8,80,7,83,False
1049,7,84,6,79,False
1050,6,88,6,75,False
1051,5,101,5,62,False
1052,4,113,5,50,False
1053,3,127,4,36,False
1054,2,135,3,28,False
1055,1,144,3,19,False
1056,0,154,2,9,False
1057,19,6,10,189,True
1058,18,9,10,186,True
1059,17,33,10,162,True
1060,16,48,10,147,True
1061,15,62,10,133,True
1062,14,72,10,123,True
1063,13,84,10,111,True
1064,12,93,10,102,True
1065,11,100,9,95,True
1066,10,112,9,83,True
1067,9,116,8,79,True
1068,8,121,8,74,True
1069,7,128,8,67,True
1070,6,138,8,57,True
1071,5,147,8,48,True
1072,4,161,8,34,True
1073,3,172,7,23,True
1074,2,176,7,19,True
1075,1,187,5,8,True
1076,0,196,3,0,True
1077,19,1,10,173,False
1078,18,9,9,165,False
1079,17,11,7,163,False
1080,16,17,7,157,False
1081,15,20,7,154,False
1082,14,34,7,140,False
1083,13,40,6,134,False
1084,12,47,6,127,False
1085,11,51,6,123,False
1086,10,60,6,114,False
1087,9,63,5,111,False
1088,8,69,5,105,False
1089,7,74,5,100,False
1090,6,87,4,87,False
1091,5,89,3,85,False
1092,4,91,3,83,False
1093,3,104,3,70,False
1094,2,117,3,57,False
1095,1,129,3,45,False
1096,0,137,3,37,False
1097,19,13,10,143,True
1098,18,20,10,136,True
1099,17,29,10,127,True
1100,16,43,10,113,True
1101,15,53,10,103,True
1102,14,62,10,94,True
1103,13,68,10,88,True
1104,12,76,9,80,True
1105,11,85,9,71,True
1106,10,96,9,60,True
1107,9,104,9,52,True
1108,8,112,8,44,True
1109,7,114,8,42,True
1110,6,118,8,38,True
1111,5,133,8,23,True
1112,4,142,8,14,True
1113,3,146,8,10,True
1114,2,150,7,6,True
1115,1,159,7,0,True
1116,19,7,10,176,True
1117,18,15,10,168,True
1118,17,32,10,151,True
1119,16,44,10,139,True
1120,15,53,10,130,True
1121,14,63,10,120,True
1122,13,65,10,118,True
1123,12,72,9,111,True
1124,11,82,9,101,True
1125,10,91,9,92,True
1126,9,96,9,87,True
1127,8,101,9,82,True
1128,7,112,9,71,True
1129,6,125,9,58,True
1130,5,135,9,48,True
1131,4,144,9,39,True
1132,3,157,9,26,True
1133,2,173,9,10,True
1134,1,186,9,0,True
1135,19,5,10,114,True
1136,18,5,10,114,True
1137,17,9,9,110,True
1138,16,14,9,105,True
1139,15,35,9,84,True
1140,14,42,8,77,True
1141,13,44,8,75,True
